"Name","Tags","User","Created","Runtime","args.rnn_hidden","args.cnn_hidden","movingAverage","Training reward","args.num_revisit","args.model_id","optimizer","env index","params.lr","params.model","params.num_trajs","score"
"exalted-smoke-3140","training-easy","sy2938","2021-04-19T13:06:01.000Z","7636","","","0.8627373612138076","0.858315570353985","12","fa229ca8-a10f-11eb-9d55-acde48001122.pt","","","","","",""
"polished-rain-3139","training-hard","sy2938","2021-04-19T13:01:47.000Z","2437","","","0.6324778683686247","0.5959050944405249","4","62fdba38-a10f-11eb-99fe-acde48001122.pt","","","","","",""
"wise-violet-3138","training-easy","sy2938","2021-04-19T12:58:54.000Z","2419","","","0.3087582595006211","0.04111427799819012","4","fbb05e46-a10e-11eb-947e-acde48001122.pt","","","","","",""
"toasty-glitter-3137","training-hard","sy2938","2021-04-19T12:58:53.000Z","4860","","","0.8331396433140128","0.7779421193582436","8","fa986966-a10e-11eb-b179-acde48001122.pt","","","","","",""
"genial-meadow-3136","training-easy","sy2938","2021-04-19T12:57:15.000Z","4828","","","0.7585699521840183","0.5020807847302535","8","c08e61d0-a10e-11eb-9e62-acde48001122.pt","","","","","",""
"neat-breeze-3135","training-hard","sy2938","2021-04-19T12:55:18.000Z","7221","","","0.7770353211674603","0.7053794267280296","12","7ad0bce2-a10e-11eb-9b55-acde48001122.pt","","","","","",""
"curious-butterfly-3133","training-hard","sy2938","2021-04-19T12:22:31.000Z","2354","","","0.04563806018813921","0.05271163135824963","4","e65dd334-a109-11eb-bfe7-acde48001122.pt","","","","","",""
"gallant-dew-3132","training-easy","sy2938","2021-04-19T12:20:07.000Z","2324","","","0.9181623620508504","0.7377256627744373","4","90071528-a109-11eb-bfef-acde48001122.pt","","","","","",""
"kind-moon-3129","training-hard","sy2938","2021-04-19T11:44:45.000Z","2264","","","0.6294962993009676","0.7702301551822757","4","9fde0b70-a104-11eb-be8a-acde48001122.pt","","","","","",""
"olive-feather-3128","training-easy","sy2938","2021-04-19T11:43:01.000Z","2223","","","0.6589874313850146","0.7596925910370942","4","6187c12c-a104-11eb-acb9-acde48001122.pt","","","","","",""
"effortless-bush-3127","training-hard","sy2938","2021-04-19T11:41:39.000Z","4631","","","0.7794262589886358","0.9280850919260216","8","30dc46ba-a104-11eb-8ac1-acde48001122.pt","","","","","",""
"good-butterfly-3126","training-easy","sy2938","2021-04-19T11:40:14.000Z","4618","","","0.047440088418255755","0.0414643363983771","8","fe5b053a-a103-11eb-a359-acde48001122.pt","","","","","",""
"charmed-spaceship-3125","training-hard","sy2938","2021-04-19T11:07:26.000Z","2237","","","0.7634444425856657","0.6166060683985393","4","68dd0568-a0ff-11eb-bb74-acde48001122.pt","","","","","",""
"polar-shadow-3124","training-easy","sy2938","2021-04-19T11:07:05.000Z","7134","","","0.8615018763873745","0.8339783812097418","12","5c82e6ac-a0ff-11eb-a02c-acde48001122.pt","","","","","",""
"wise-firebrand-3123","training-easy","sy2938","2021-04-19T11:06:01.000Z","2218","","","0.8345654845591639","0.902982321800323","4","368594c2-a0ff-11eb-a2a8-acde48001122.pt","","","","","",""
"deep-frost-3122","training-hard","sy2938","2021-04-19T11:02:34.000Z","6761","","","0.17856756900629497","0.2231765270349418","12","b954df08-a0fe-11eb-adbd-acde48001122.pt","","","","","",""
"fanciful-snow-3120","training-hard","sy2938","2021-04-19T10:29:31.000Z","2273","","","0.6801020278816736","0.8469500554090246","4","1da7f31e-a0fa-11eb-9a55-acde48001122.pt","","","","","",""
"jumping-fire-3119","training-easy","sy2938","2021-04-19T10:28:41.000Z","2237","","","0.910479412529611","0.8079303516585696","4","ffba7426-a0f9-11eb-a5ef-acde48001122.pt","","","","","",""
"electric-surf-3118","training-hard","sy2938","2021-04-19T10:26:40.000Z","4496","","","0.6506590871374129","0.4915771494252681","8","b75e7ac6-a0f9-11eb-ab91-acde48001122.pt","","","","","",""
"denim-serenity-3117","training-easy","sy2938","2021-04-19T10:24:42.000Z","4530","","","0.4784707861430917","0.5935797058681942","8","7035b658-a0f9-11eb-8a64-acde48001122.pt","","","","","",""
"kind-silence-3111","training-hard","sy2938","2021-04-19T09:51:04.000Z","2305","","","0.6989652196181737","1.029707259463862","4","be9401c6-a0f4-11eb-975d-acde48001122.pt","","","","","",""
"noble-yogurt-3110","training-easy","sy2938","2021-04-19T09:50:42.000Z","2277","","","0.921286396333187","0.8313114388180338","4","b0a2c7b4-a0f4-11eb-8f1b-acde48001122.pt","","","","","",""
"fancy-wildflower-3109","training-hard","sy2938","2021-04-19T09:12:55.000Z","2287","","","0.6346670664389364","0.5004774403734586","4","6cabb19a-a0ef-11eb-bb49-acde48001122.pt","","","","","",""
"apricot-disco-3108","training-easy","sy2938","2021-04-19T09:12:40.000Z","2279","","","0.7820265144832206","0.96163537638148","4","63410d80-a0ef-11eb-b27b-acde48001122.pt","","","","","",""
"robust-dust-3107","training-hard","sy2938","2021-04-19T09:10:23.000Z","4574","","","0.6643781844844625","0.6474798728412452","8","11f3cbf4-a0ef-11eb-bee2-acde48001122.pt","","","","","",""
"vague-cherry-3106","training-hard","sy2938","2021-04-19T09:10:02.000Z","6750","","","0.6364062474156356","0.4804112902406814","12","055328ca-a0ef-11eb-b074-acde48001122.pt","","","","","",""
"hopeful-voice-3105","training-easy","sy2938","2021-04-19T09:08:53.000Z","4546","","","0.8261296394575339","0.7072458328725872","8","dc1eb73a-a0ee-11eb-bc8b-acde48001122.pt","","","","","",""
"visionary-bird-3104","training-easy","sy2938","2021-04-19T09:08:34.000Z","7109","","","0.8588586048518039","0.9226220194618312","12","d1197794-a0ee-11eb-a998-acde48001122.pt","","","","","",""
"spring-shadow-3102","training-easy","sy2938","2021-04-19T08:53:13.000Z","845","","","0.7564987297227503","0.7975033243112648","2","ac3b1af6-a0ec-11eb-a1a0-acde48001122.pt","","","","","",""
"fancy-gorge-3083","training-easy","sy2938","2021-04-19T05:04:48.000Z","557","","","0.8611558735207154","0.886741328989956","1","c05f4266-a0cc-11eb-b036-acde48001122.pt","","","","","",""
"vibrant-shape-3082","training-hard","sy2938","2021-04-19T05:03:06.000Z","556","","","0.5169256879421482","0.10131109041958553","1","836eebc2-a0cc-11eb-ac18-acde48001122.pt","","","","","",""
"proud-dawn-3081","training-easy","sy2938","2021-04-19T04:55:29.000Z","557","","","0.7040535025669215","0.6072478073260754","1","73a9d306-a0cb-11eb-b7d3-acde48001122.pt","","","","","",""
"valiant-valley-3080","training-hard","sy2938","2021-04-19T04:53:58.000Z","545","","","0.7635565041654218","0.779723043539434","1","3cbab194-a0cb-11eb-bd08-acde48001122.pt","","","","","",""
"dazzling-disco-3079","training-easy","sy2938","2021-04-19T04:46:14.000Z","553","","","0.9035786206841294","1.115349081867862","1","283c1f4c-a0ca-11eb-9314-acde48001122.pt","","","","","",""
"devoted-planet-3078","training-hard","sy2938","2021-04-19T04:44:43.000Z","552","","","0.7953982719826627","0.43154713801800426","1","f2561b12-a0c9-11eb-ab0d-acde48001122.pt","","","","","",""
"hardy-grass-3077","training-easy","sy2938","2021-04-19T04:36:46.000Z","566","","","0.0486901360865204","0.08459346091490261","1","d5c73ee6-a0c8-11eb-9434-acde48001122.pt","","","","","",""
"major-wood-3076","training-hard","sy2938","2021-04-19T04:35:27.000Z","554","","","1.2273959343031038","1.6158994577631347","1","a681791c-a0c8-11eb-a6ad-acde48001122.pt","","","","","",""
"zany-breeze-3075","training-easy","sy2938","2021-04-19T04:28:16.000Z","507","","","0.059976466100124526","0.01952871977482573","1","a59f82a6-a0c7-11eb-a8a1-acde48001122.pt","","","","","",""
"warm-mountain-3073","training-hard","sy2938","2021-04-19T04:26:53.000Z","512","","","0.04535378315449634","0.08735133560958275","1","748e062e-a0c7-11eb-8f14-acde48001122.pt","","","","","",""
"cool-music-3071","training-easy","sy2938","2021-04-19T04:19:36.000Z","518","","","0.41583247098492393","0.9216160135824794","1","7005203e-a0c6-11eb-9f9d-acde48001122.pt","","","","","",""
"splendid-star-3070","training-hard","sy2938","2021-04-19T04:18:16.000Z","515","","","0.8259716804170694","1.1013110904291352","1","4063489c-a0c6-11eb-bfb0-acde48001122.pt","","","","","",""
"atomic-planet-3069","training-easy","sy2938","2021-04-19T04:10:47.000Z","527","","","0.6605106589379375","0.6072478073247112","1","35143346-a0c5-11eb-80c3-acde48001122.pt","","","","","",""
"treasured-serenity-3068","training-hard","sy2938","2021-04-19T04:09:40.000Z","514","","","0.06890374933630028","0.9748556047536568","1","0cd1d1e8-a0c5-11eb-9582-acde48001122.pt","","","","","",""
"major-bush-3067","training-easy","sy2938","2021-04-19T04:02:10.000Z","515","","","0.908662396945715","0.6151751669488021","1","0080ba7a-a0c4-11eb-8a72-acde48001122.pt","","","","","",""
"classic-music-3066","training-hard","sy2938","2021-04-19T04:01:08.000Z","510","","","0.1971178523060644","0.7082653196343927","1","dbcd9290-a0c3-11eb-8057-acde48001122.pt","","","","","",""
"cerulean-sound-3063","training-easy","sy2938","2021-04-19T03:53:31.000Z","517","","","0.7644319104496162","0.7022608541965383","1","cb46bd4c-a0c2-11eb-92dd-acde48001122.pt","","","","","",""
"ruby-elevator-3062","training-hard","sy2938","2021-04-19T03:52:35.000Z","511","","","0.34174624756849425","0.03247054399980698","1","a9c8518c-a0c2-11eb-84cb-acde48001122.pt","","","","","",""
"vivid-sun-3061","training-easy","sy2938","2021-04-19T03:44:36.000Z","533","","","0.5010452054298185","0.9216160135845256","1","8bea639a-a0c1-11eb-a2fb-acde48001122.pt","","","","","",""
"scarlet-firefly-3060","training-hard","sy2938","2021-04-19T03:43:42.000Z","530","","","0.6274390576729729","0.1952718922884742","1","6be83de2-a0c1-11eb-8ab6-acde48001122.pt","","","","","",""
"cosmic-silence-3059","training-easy","sy2938","2021-04-19T03:35:33.000Z","540","","","1.018482547727558","0.7022608541938098","1","487b3cca-a0c0-11eb-92c8-acde48001122.pt","","","","","",""
"floral-thunder-3058","training-hard","sy2938","2021-04-19T03:34:44.000Z","536","","","0.9640994046717424","1.1057218683540668","1","2aa2b6c6-a0c0-11eb-973e-acde48001122.pt","","","","","",""
"zesty-spaceship-3057","training-easy","sy2938","2021-04-19T03:26:49.000Z","522","","","0.7469945681584704","0.9216160135854352","1","0ff090c2-a0bf-11eb-90ec-acde48001122.pt","","","","","",""
